transaction_id,user_id,account_number,transaction_date,transaction_type,amount,currency,category,description,balance_after,reference_number,branch_code,channel
4B84CB26,4,GB51CITI43028554568398,2024-01-01 04:57:46,CREDIT,4288.81,GBP,BONUS,Bonus,92982.53,REF187525772,BR472,PHONE
06F95E32,3,DE13870962145025555422,2024-01-06 01:31:00,CREDIT,956.41,EUR,DIVIDEND,Dividend,90904.78,REF820055711,BR719,PHONE
5D796FDE,1,DE59795655681688929171,2024-01-01 22:39:36,DEBIT,2019.25,EUR,LOAN_PAYMENT,Loan Payment,77366.02,REF797227144,BR155,ONLINE
0223D44A,1,DE25202102007876909711,2024-01-02 12:58:39,CREDIT,586.85,EUR,GIFT,Gift,29811.67,REF420005808,BR811,BRANCH
EB0FD515,4,DE08870000009130446806,2024-01-07 14:21:46,CREDIT,10862.05,EUR,INTEREST,INTEREST CREDIT,68757.52,REF537436906,BR362,PHONE
620B23C7,1,DE59795655681688929171,2024-01-06 02:51:51,CREDIT,13753.56,EUR,REFUND,Refund,62009.92,REF913771730,BR261,MOBILE
B0D8FE5D,3,DE06546700950979859803,2024-01-03 00:10:34,DEBIT,3855.54,EUR,FUEL,Fuel,23664.06,REF999313436,BR206,MOBILE
96ED1D76,3,GB84CPBK83157663644901,2024-01-08 01:38:14,CREDIT,865.55,GBP,TRANSFER_IN,TRANSFER FROM ACCOUNT ***4462,47049.81,REF943119213,BR810,ATM
F70F7F00,1,DE79741514506827135679,2024-01-05 06:24:01,DEBIT,2785.74,EUR,UTILITIES,Utilities,86394.66,REF123454304,BR878,ONLINE
0C573DE6,1,DE25202102007876909711,2024-01-06 07:00:20,CREDIT,6566.14,EUR,GIFT,Gift,8670.83,REF603614420,BR410,BRANCH
A8E445CC,3,DE06546700950979859803,2024-01-03 03:35:25,DEBIT,11668.97,EUR,SUBSCRIPTION,Subscription,60888.85,REF155396717,BR892,ONLINE
1399B45C,2,FR471450594397YBLERHKUZ7Y02,2024-01-09 18:56:50,CREDIT,1893.98,EUR,REFUND,Refund,80367.54,REF976049719,BR349,BRANCH
8F30F561,3,GB84CPBK83157663644901,2024-01-03 07:16:25,DEBIT,12715.95,GBP,RENT,Rent,63989.04,REF111029006,BR555,MOBILE
C965F725,4,GB51CITI43028554568398,2024-01-09 00:09:13,DEBIT,29879.57,GBP,MEDICAL,Medical,11431.35,REF448985480,BR706,ONLINE
991487CB,4,DE08870000009130446806,2024-01-03 16:07:54,CREDIT,115.26,EUR,BONUS,Bonus,940.94,REF191521679,BR567,ONLINE
E7F89A38,1,DE59795655681688929171,2024-01-08 09:03:44,CREDIT,13448.03,EUR,REFUND,Refund,76995.17,REF497525236,BR764,ONLINE
3B886F53,3,GB84CPBK83157663644901,2024-01-10 22:53:31,DEBIT,20970.4,GBP,PURCHASE,Lyft - PURCHASE,33631.82,REF831925107,BR662,ONLINE
B16D70DD,1,DE79741514506827135679,2024-01-01 17:53:42,CREDIT,5781.29,EUR,FREELANCE,Freelance,16062.41,REF450881834,BR370,ONLINE
C1B3C9E3,1,DE59795655681688929171,2024-01-01 13:37:41,CREDIT,873.57,EUR,BONUS,Bonus,30490.61,REF848770678,BR691,PHONE
